trace,workload,condition,scanned_bytes,returned_bytes,inserted_bytes,retrieved_snippet_read_events
search_agent_broad.jsonl,search_agent,broad,88372,2318,672,13
search_agent_targeted.jsonl,search_agent,targeted,88372,691,350,13
