trace,workload,condition,raw_context_bytes,summary_bytes,compression_ratio,summary_read_events
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,18602,0,,0
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,18602,513,36.261,8
